month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price
2017-01,CHOA CHU KANG,3 ROOM,111,TECK WHYE LANE,10 TO 12,73,Model A,1989,71 years 08 months,273000
2017-01,CHOA CHU KANG,3 ROOM,111,TECK WHYE LANE,04 TO 06,73,Model A,1989,71 years 08 months,285000
2017-01,CHOA CHU KANG,3 ROOM,114,TECK WHYE LANE,07 TO 09,73,Model A,1989,71 years 08 months,293000
2017-01,CHOA CHU KANG,4 ROOM,460,CHOA CHU KANG AVE 4,04 TO 06,104,Premium Apartment,2000,82 years 03 months,316000
2017-01,CHOA CHU KANG,4 ROOM,121,TECK WHYE LANE,01 TO 03,103,Model A,1989,71 years 04 months,316000
2017-01,CHOA CHU KANG,4 ROOM,404,CHOA CHU KANG AVE 3,01 TO 03,104,Model A,1993,75 years 05 months,318000
2017-01,CHOA CHU KANG,4 ROOM,692B,CHOA CHU KANG CRES,01 TO 03,90,Model A,2003,85 years 01 month,325000
2017-01,CHOA CHU KANG,4 ROOM,115,TECK WHYE LANE,04 TO 06,103,Model A,1989,71 years 04 months,325000
2017-01,CHOA CHU KANG,4 ROOM,422,CHOA CHU KANG AVE 4,04 TO 06,104,Model A,1992,74 years 06 months,330000
2017-01,CHOA CHU KANG,4 ROOM,680,CHOA CHU KANG CRES,07 TO 09,105,Premium Apartment,1999,81 years 09 months,340000
2017-01,CHOA CHU KANG,4 ROOM,771,CHOA CHU KANG ST 54,01 TO 03,102,Model A,1996,78 years 06 months,343000
2017-01,CHOA CHU KANG,4 ROOM,229,CHOA CHU KANG CTRL,01 TO 03,104,Model A,1989,71 years 04 months,345000
2017-01,CHOA CHU KANG,4 ROOM,237,CHOA CHU KANG CTRL,04 TO 06,110,Model A,1990,72 years 08 months,345000
2017-01,CHOA CHU KANG,4 ROOM,157,JLN TECK WHYE,04 TO 06,91,Model A2,1998,80 years 01 month,345000
2017-01,CHOA CHU KANG,4 ROOM,416,CHOA CHU KANG AVE 4,04 TO 06,104,Model A,1993,75 years 05 months,350000
2017-01,CHOA CHU KANG,4 ROOM,414,CHOA CHU KANG AVE 4,01 TO 03,104,Model A,1993,75 years 05 months,353000
2017-01,CHOA CHU KANG,4 ROOM,239,CHOA CHU KANG CTRL,04 TO 06,104,Model A,1990,72 years 03 months,353000
2017-01,CHOA CHU KANG,4 ROOM,404,CHOA CHU KANG AVE 3,04 TO 06,104,Model A,1993,75 years 06 months,358000
2017-01,CHOA CHU KANG,4 ROOM,423,CHOA CHU KANG AVE 4,10 TO 12,104,Model A,1992,74 years 06 months,358000
2017-01,CHOA CHU KANG,4 ROOM,621,CHOA CHU KANG ST 62,01 TO 03,107,Model A,1996,78 years 03 months,360000
2017-01,CHOA CHU KANG,4 ROOM,657,CHOA CHU KANG CRES,04 TO 06,104,Premium Apartment,1999,81 years 04 months,370000
2017-01,CHOA CHU KANG,4 ROOM,418,CHOA CHU KANG AVE 4,10 TO 12,106,Model A,1993,75 years 04 months,375000
2017-01,CHOA CHU KANG,4 ROOM,608,CHOA CHU KANG ST 62,01 TO 03,106,Model A,1996,78 years 03 months,380000
2017-01,CHOA CHU KANG,4 ROOM,412,CHOA CHU KANG AVE 3,10 TO 12,123,Model A,1992,74 years 06 months,412888
2017-01,CHOA CHU KANG,4 ROOM,635,CHOA CHU KANG NTH 6,01 TO 03,113,Premium Apartment,1998,80 years,420000
2017-01,CHOA CHU KANG,4 ROOM,353,CHOA CHU KANG CTRL,10 TO 12,108,Model A,1993,75 years 05 months,420000
2017-01,CHOA CHU KANG,4 ROOM,412,CHOA CHU KANG AVE 3,13 TO 15,123,Model A,1992,74 years 06 months,425000
2017-01,CHOA CHU KANG,4 ROOM,353,CHOA CHU KANG CTRL,13 TO 15,106,Model A,1993,75 years 05 months,443000
2017-01,CHOA CHU KANG,5 ROOM,453,CHOA CHU KANG AVE 4,04 TO 06,123,Premium Apartment,2000,82 years 01 month,380000
2017-01,CHOA CHU KANG,5 ROOM,689A,CHOA CHU KANG DR,07 TO 09,110,Improved,2002,84 years 03 months,385000
2017-01,CHOA CHU KANG,5 ROOM,692A,CHOA CHU KANG CRES,10 TO 12,110,Improved,2003,85 years 01 month,390000
2017-01,CHOA CHU KANG,5 ROOM,689B,CHOA CHU KANG DR,16 TO 18,110,Improved,2002,84 years 03 months,400000
2017-01,CHOA CHU KANG,5 ROOM,760,CHOA CHU KANG NTH 5,04 TO 06,126,Improved,1995,77 years 05 months,400000
2017-01,CHOA CHU KANG,5 ROOM,544,CHOA CHU KANG ST 52,04 TO 06,124,Improved,1995,77 years 07 months,408000
2017-01,CHOA CHU KANG,5 ROOM,690A,CHOA CHU KANG CRES,19 TO 21,110,Improved,2003,85 years 04 months,418000
2017-01,CHOA CHU KANG,5 ROOM,474,CHOA CHU KANG AVE 3,13 TO 15,120,Improved,1999,81 years 03 months,430000
2017-01,CHOA CHU KANG,5 ROOM,248,CHOA CHU KANG AVE 2,04 TO 06,123,Improved,1993,75 years 05 months,435000
2017-01,CHOA CHU KANG,5 ROOM,626,CHOA CHU KANG ST 62,07 TO 09,121,Improved,1997,79 years 04 months,500000
2017-01,CHOA CHU KANG,5 ROOM,789,CHOA CHU KANG NTH 6,10 TO 12,131,Model A,1996,78 years 09 months,522000
2017-01,CHOA CHU KANG,EXECUTIVE,671,CHOA CHU KANG CRES,10 TO 12,141,Premium Apartment,2000,82 years 01 month,512800
2017-01,CHOA CHU KANG,EXECUTIVE,296B,CHOA CHU KANG AVE 2,07 TO 09,141,Premium Apartment,1999,81 years 06 months,520000
2017-01,CHOA CHU KANG,EXECUTIVE,604,CHOA CHU KANG ST 62,04 TO 06,147,Maisonette,1996,78 years,554000
2017-01,CHOA CHU KANG,EXECUTIVE,663,CHOA CHU KANG CRES,16 TO 18,141,Apartment,1999,81 years 05 months,560000
2017-01,CHOA CHU KANG,EXECUTIVE,101,TECK WHYE LANE,13 TO 15,142,Apartment,1989,71 years 03 months,575000
2017-02,CHOA CHU KANG,3 ROOM,19,TECK WHYE LANE,10 TO 12,68,New Generation,1981,63 years 07 months,258000
2017-02,CHOA CHU KANG,3 ROOM,106,TECK WHYE LANE,10 TO 12,73,Model A,1989,71 years 09 months,265000
2017-02,CHOA CHU KANG,3 ROOM,4,TECK WHYE AVE,10 TO 12,74,Model A,1984,66 years 05 months,280000
2017-02,CHOA CHU KANG,3 ROOM,26,TECK WHYE LANE,10 TO 12,74,New Generation,1979,61 years 01 month,288800
2017-02,CHOA CHU KANG,4 ROOM,688C,CHOA CHU KANG CRES,04 TO 06,90,Model A,2003,85 years 01 month,300000
2017-02,CHOA CHU KANG,4 ROOM,25,TECK WHYE LANE,04 TO 06,92,New Generation,1979,61 years 02 months,309000
2017-02,CHOA CHU KANG,4 ROOM,686A,CHOA CHU KANG CRES,01 TO 03,91,Model A,2002,84 years 08 months,313000
2017-02,CHOA CHU KANG,4 ROOM,289,CHOA CHU KANG AVE 3,04 TO 06,104,Model A,1993,75 years 05 months,315000
2017-02,CHOA CHU KANG,4 ROOM,771,CHOA CHU KANG ST 54,01 TO 03,102,Model A,1996,78 years 06 months,318000
2017-02,CHOA CHU KANG,4 ROOM,504,CHOA CHU KANG ST 51,04 TO 06,117,Model A,1995,77 years,323000
2017-02,CHOA CHU KANG,4 ROOM,102,TECK WHYE LANE,07 TO 09,104,Model A,1989,71 years 02 months,325000
2017-02,CHOA CHU KANG,4 ROOM,152,JLN TECK WHYE,01 TO 03,103,Model A,1998,79 years 11 months,328000
2017-02,CHOA CHU KANG,4 ROOM,506,CHOA CHU KANG ST 51,04 TO 06,108,Model A,1994,76 years 10 months,330000
2017-02,CHOA CHU KANG,4 ROOM,406,CHOA CHU KANG AVE 3,01 TO 03,104,Model A,1993,75 years 05 months,340000
2017-02,CHOA CHU KANG,4 ROOM,444,CHOA CHU KANG AVE 4,10 TO 12,101,Model A,1997,79 years 02 months,344000
2017-02,CHOA CHU KANG,4 ROOM,216,CHOA CHU KANG CTRL,01 TO 03,108,Model A,1990,72 years,345000
2017-02,CHOA CHU KANG,4 ROOM,613,CHOA CHU KANG ST 62,04 TO 06,108,Model A,1996,78 years 04 months,347000
2017-02,CHOA CHU KANG,4 ROOM,790,CHOA CHU KANG NTH 6,01 TO 03,111,Model A,1996,78 years 10 months,355000
2017-02,CHOA CHU KANG,4 ROOM,765,CHOA CHU KANG NTH 5,07 TO 09,106,Model A,1996,78 years 06 months,360000
2017-02,CHOA CHU KANG,4 ROOM,401,CHOA CHU KANG AVE 3,13 TO 15,103,Model A,1993,75 years 04 months,390000
2017-02,CHOA CHU KANG,4 ROOM,476B,CHOA CHU KANG AVE 5,10 TO 12,92,Model A,2013,95 years 05 months,400000
2017-02,CHOA CHU KANG,4 ROOM,476C,CHOA CHU KANG AVE 5,13 TO 15,92,Model A,2013,95 years 05 months,403300
2017-02,CHOA CHU KANG,4 ROOM,634,CHOA CHU KANG NTH 6,07 TO 09,113,Premium Apartment,1998,79 years 11 months,455000
2017-02,CHOA CHU KANG,5 ROOM,227,CHOA CHU KANG CTRL,01 TO 03,122,Improved,1993,75 years 04 months,365000
2017-02,CHOA CHU KANG,5 ROOM,483,CHOA CHU KANG AVE 5,10 TO 12,117,Improved,1999,81 years 03 months,371000
2017-02,CHOA CHU KANG,5 ROOM,516,CHOA CHU KANG ST 51,13 TO 15,123,Improved,1995,77 years 07 months,375000
2017-02,CHOA CHU KANG,5 ROOM,686B,CHOA CHU KANG CRES,10 TO 12,110,Improved,2002,84 years 08 months,380000
2017-02,CHOA CHU KANG,5 ROOM,506,CHOA CHU KANG ST 51,04 TO 06,123,Improved,1994,76 years 09 months,388000
2017-02,CHOA CHU KANG,5 ROOM,297B,CHOA CHU KANG AVE 2,07 TO 09,122,Premium Apartment,1999,81 years 05 months,398000
2017-02,CHOA CHU KANG,5 ROOM,18,TECK WHYE LANE,07 TO 09,119,Improved,1990,72 years 04 months,400000
2017-02,CHOA CHU KANG,5 ROOM,674,CHOA CHU KANG CRES,04 TO 06,124,Premium Apartment,1999,81 years 09 months,400000
2017-02,CHOA CHU KANG,5 ROOM,677,CHOA CHU KANG CRES,07 TO 09,123,Premium Apartment,1999,81 years 08 months,403000
2017-02,CHOA CHU KANG,5 ROOM,444,CHOA CHU KANG AVE 4,07 TO 09,119,Improved,1997,79 years 02 months,405000
2017-02,CHOA CHU KANG,5 ROOM,691A,CHOA CHU KANG CRES,22 TO 24,110,Improved,2003,85 years 03 months,408888
2017-02,CHOA CHU KANG,5 ROOM,461,CHOA CHU KANG AVE 4,04 TO 06,123,Premium Apartment,2000,82 years 02 months,410000
2017-02,CHOA CHU KANG,5 ROOM,684D,CHOA CHU KANG CRES,10 TO 12,110,Improved,2002,84 years 07 months,410000
2017-02,CHOA CHU KANG,5 ROOM,461,CHOA CHU KANG AVE 4,13 TO 15,123,Premium Apartment,2000,82 years 02 months,425000
2017-02,CHOA CHU KANG,5 ROOM,506,CHOA CHU KANG ST 51,10 TO 12,140,Model A,1994,76 years 09 months,450000
2017-02,CHOA CHU KANG,5 ROOM,213,CHOA CHU KANG CTRL,10 TO 12,122,Improved,1989,71 years 02 months,455000
2017-02,CHOA CHU KANG,5 ROOM,130,CHOA CHU KANG AVE 1,13 TO 15,129,Improved,1993,75 years 04 months,470000
2017-02,CHOA CHU KANG,EXECUTIVE,677,CHOA CHU KANG CRES,04 TO 06,144,Premium Apartment,1999,81 years 08 months,485000
2017-02,CHOA CHU KANG,EXECUTIVE,531,CHOA CHU KANG ST 51,13 TO 15,143,Apartment,1995,77 years 02 months,500000
2017-02,CHOA CHU KANG,EXECUTIVE,663,CHOA CHU KANG CRES,07 TO 09,141,Apartment,1999,81 years 04 months,520000
2017-02,CHOA CHU KANG,EXECUTIVE,163,JLN TECK WHYE,04 TO 06,145,Maisonette,1998,80 years 03 months,535000
2017-02,CHOA CHU KANG,EXECUTIVE,120,TECK WHYE LANE,10 TO 12,146,Maisonette,1989,71 years 05 months,580000
2017-02,CHOA CHU KANG,EXECUTIVE,207,CHOA CHU KANG CTRL,10 TO 12,154,Maisonette,1989,71 years 10 months,640888
2017-03,CHOA CHU KANG,3 ROOM,10,TECK WHYE AVE,04 TO 06,67,New Generation,1978,60 years 02 months,250000
2017-03,CHOA CHU KANG,4 ROOM,442,CHOA CHU KANG AVE 4,04 TO 06,90,Model A2,1997,79 years,305000
2017-03,CHOA CHU KANG,4 ROOM,688A,CHOA CHU KANG DR,01 TO 03,90,Model A,2002,84 years,305000
2017-03,CHOA CHU KANG,4 ROOM,689A,CHOA CHU KANG DR,07 TO 09,90,Model A,2002,84 years 01 month,305000
2017-03,CHOA CHU KANG,4 ROOM,106,TECK WHYE LANE,01 TO 03,103,Model A,1989,71 years 08 months,305000
2017-03,CHOA CHU KANG,4 ROOM,17,TECK WHYE LANE,10 TO 12,93,New Generation,1981,63 years 06 months,310000
2017-03,CHOA CHU KANG,4 ROOM,613,CHOA CHU KANG ST 62,01 TO 03,108,Model A,1996,78 years 03 months,318000
2017-03,CHOA CHU KANG,4 ROOM,542,CHOA CHU KANG ST 52,01 TO 03,104,Model A,1995,77 years 05 months,320000
2017-03,CHOA CHU KANG,4 ROOM,297A,CHOA CHU KANG AVE 2,16 TO 18,101,Premium Apartment,1999,81 years 04 months,322500
2017-03,CHOA CHU KANG,4 ROOM,456,CHOA CHU KANG AVE 4,01 TO 03,103,Premium Apartment,2000,82 years 01 month,325000
2017-03,CHOA CHU KANG,4 ROOM,484A,CHOA CHU KANG AVE 5,16 TO 18,90,Model A2,1999,81 years 01 month,325000
2017-03,CHOA CHU KANG,4 ROOM,20,TECK WHYE LANE,10 TO 12,91,New Generation,1981,63 years 06 months,325000
2017-03,CHOA CHU KANG,4 ROOM,470,CHOA CHU KANG AVE 3,13 TO 15,101,Model A,1999,80 years 11 months,328888
2017-03,CHOA CHU KANG,4 ROOM,485,CHOA CHU KANG AVE 5,16 TO 18,101,Model A,1999,81 years 03 months,330000
2017-03,CHOA CHU KANG,4 ROOM,427,CHOA CHU KANG AVE 4,07 TO 09,104,Model A,1992,74 years 04 months,330000
2017-03,CHOA CHU KANG,4 ROOM,506,CHOA CHU KANG ST 51,01 TO 03,108,Model A,1994,76 years 08 months,330000
2017-03,CHOA CHU KANG,4 ROOM,471,CHOA CHU KANG AVE 3,13 TO 15,100,Model A,1999,80 years 11 months,333000
2017-03,CHOA CHU KANG,4 ROOM,506,CHOA CHU KANG ST 51,10 TO 12,108,Model A,1994,76 years 08 months,338000
2017-03,CHOA CHU KANG,4 ROOM,25,TECK WHYE LANE,10 TO 12,92,New Generation,1979,61 years,338000
2017-03,CHOA CHU KANG,4 ROOM,673A,CHOA CHU KANG CRES,07 TO 09,104,Premium Apartment,1999,81 years 09 months,340000
2017-03,CHOA CHU KANG,4 ROOM,441,CHOA CHU KANG AVE 4,01 TO 03,106,Model A,1993,75 years 03 months,340000
2017-03,CHOA CHU KANG,4 ROOM,687B,CHOA CHU KANG DR,10 TO 12,90,Model A,2002,84 years 04 months,340000
2017-03,CHOA CHU KANG,4 ROOM,465,CHOA CHU KANG AVE 4,10 TO 12,104,Premium Apartment,2000,82 years,345000
2017-03,CHOA CHU KANG,4 ROOM,657,CHOA CHU KANG CRES,01 TO 03,100,Premium Apartment,1999,81 years 01 month,345000
2017-03,CHOA CHU KANG,4 ROOM,673A,CHOA CHU KANG CRES,04 TO 06,100,Premium Apartment,1999,81 years 09 months,350000
2017-03,CHOA CHU KANG,4 ROOM,681,CHOA CHU KANG CRES,10 TO 12,103,Premium Apartment,1999,81 years 07 months,355000
2017-03,CHOA CHU KANG,4 ROOM,414,CHOA CHU KANG AVE 4,10 TO 12,106,Model A,1993,75 years 03 months,357000
2017-03,CHOA CHU KANG,4 ROOM,219,CHOA CHU KANG CTRL,01 TO 03,105,Model A,1990,71 years 11 months,358000
2017-03,CHOA CHU KANG,4 ROOM,626,CHOA CHU KANG ST 62,01 TO 03,100,Model A,1997,79 years 02 months,367000
2017-03,CHOA CHU KANG,4 ROOM,626,CHOA CHU KANG ST 62,04 TO 06,100,Model A,1997,79 years 02 months,385000
2017-03,CHOA CHU KANG,4 ROOM,217,CHOA CHU KANG CTRL,07 TO 09,105,Model A,1990,72 years 04 months,385000
2017-03,CHOA CHU KANG,4 ROOM,627,CHOA CHU KANG ST 62,07 TO 09,101,Model A,1997,79 years 02 months,403000
2017-03,CHOA CHU KANG,4 ROOM,476C,CHOA CHU KANG AVE 5,13 TO 15,92,Model A,2013,95 years 04 months,410000
2017-03,CHOA CHU KANG,4 ROOM,642,CHOA CHU KANG ST 64,04 TO 06,100,Premium Apartment,1998,79 years 10 months,420000
2017-03,CHOA CHU KANG,4 ROOM,639,CHOA CHU KANG ST 64,04 TO 06,100,Premium Apartment,1998,80 years 01 month,480000
2017-03,CHOA CHU KANG,5 ROOM,686A,CHOA CHU KANG CRES,13 TO 15,110,Improved,2002,84 years 07 months,355000
2017-03,CHOA CHU KANG,5 ROOM,501,CHOA CHU KANG ST 51,04 TO 06,123,Improved,1995,76 years 11 months,370000
2017-03,CHOA CHU KANG,5 ROOM,690A,CHOA CHU KANG CRES,07 TO 09,110,Improved,2003,85 years 02 months,375000
2017-03,CHOA CHU KANG,5 ROOM,677,CHOA CHU KANG CRES,04 TO 06,122,Premium Apartment,1999,81 years 07 months,380000
2017-03,CHOA CHU KANG,5 ROOM,224,CHOA CHU KANG CTRL,01 TO 03,122,Improved,1993,75 years 03 months,380000
2017-03,CHOA CHU KANG,5 ROOM,702,CHOA CHU KANG ST 53,04 TO 06,121,Improved,1995,77 years 02 months,381000
2017-03,CHOA CHU KANG,5 ROOM,690C,CHOA CHU KANG CRES,19 TO 21,111,Improved,2003,85 years 03 months,388000
2017-03,CHOA CHU KANG,5 ROOM,471,CHOA CHU KANG AVE 3,04 TO 06,121,Improved,1999,80 years 11 months,389000
2017-03,CHOA CHU KANG,5 ROOM,686D,CHOA CHU KANG CRES,13 TO 15,110,Improved,2002,84 years 08 months,390000
2017-03,CHOA CHU KANG,5 ROOM,686A,CHOA CHU KANG CRES,13 TO 15,110,Improved,2002,84 years 07 months,392888
2017-03,CHOA CHU KANG,5 ROOM,670,CHOA CHU KANG CRES,16 TO 18,124,Premium Apartment,1999,81 years 10 months,400000
2017-03,CHOA CHU KANG,5 ROOM,296B,CHOA CHU KANG AVE 2,13 TO 15,120,Premium Apartment,1999,81 years 04 months,405000
2017-03,CHOA CHU KANG,5 ROOM,687B,CHOA CHU KANG DR,19 TO 21,110,Improved,2002,84 years 03 months,418000
2017-03,CHOA CHU KANG,5 ROOM,154,JLN TECK WHYE,07 TO 09,121,Improved,1997,79 years 09 months,418000
2017-03,CHOA CHU KANG,5 ROOM,771,CHOA CHU KANG ST 54,10 TO 12,121,Improved,1996,78 years 04 months,428000
2017-03,CHOA CHU KANG,5 ROOM,656,CHOA CHU KANG CRES,10 TO 12,121,Premium Apartment,1999,81 years 01 month,450000
2017-03,CHOA CHU KANG,5 ROOM,680,CHOA CHU KANG CRES,07 TO 09,125,Premium Apartment,1999,81 years 07 months,450000
2017-03,CHOA CHU KANG,5 ROOM,752,CHOA CHU KANG NTH 5,13 TO 15,126,Improved,1995,77 years 03 months,465000
2017-03,CHOA CHU KANG,5 ROOM,562,CHOA CHU KANG ST 52,10 TO 12,129,Improved,1995,77 years 03 months,468000
2017-03,CHOA CHU KANG,5 ROOM,641,CHOA CHU KANG ST 64,01 TO 03,123,Premium Apartment,1998,79 years 10 months,470000
2017-03,CHOA CHU KANG,5 ROOM,465,CHOA CHU KANG AVE 4,04 TO 06,123,Premium Apartment,2000,82 years,479000
2017-03,CHOA CHU KANG,5 ROOM,632,CHOA CHU KANG NTH 6,04 TO 06,127,Premium Apartment,1998,79 years 10 months,498000
2017-03,CHOA CHU KANG,5 ROOM,792,CHOA CHU KANG NTH 6,10 TO 12,128,Improved,1996,78 years 07 months,503888
2017-03,CHOA CHU KANG,5 ROOM,618,CHOA CHU KANG NTH 7,07 TO 09,134,Model A,1996,78 years 01 month,530000
2017-03,CHOA CHU KANG,5 ROOM,562,CHOA CHU KANG ST 52,10 TO 12,129,Improved,1995,77 years 03 months,468000
2017-03,CHOA CHU KANG,EXECUTIVE,163,JLN TECK WHYE,07 TO 09,140,Apartment,1998,80 years 02 months,530888
2017-03,CHOA CHU KANG,EXECUTIVE,656,CHOA CHU KANG CRES,19 TO 21,141,Premium Apartment,1999,81 years 01 month,535000
2017-03,CHOA CHU KANG,EXECUTIVE,133,TECK WHYE LANE,07 TO 09,146,Apartment,1993,75 years 02 months,538000
2017-03,CHOA CHU KANG,EXECUTIVE,674,CHOA CHU KANG CRES,04 TO 06,141,Premium Apartment,1999,81 years 07 months,550000
2017-03,CHOA CHU KANG,EXECUTIVE,606,CHOA CHU KANG ST 62,07 TO 09,145,Apartment,1996,78 years 02 months,553000
2017-03,CHOA CHU KANG,EXECUTIVE,164,JLN TECK WHYE,07 TO 09,142,Apartment,1998,80 years 01 month,560000
2017-03,CHOA CHU KANG,EXECUTIVE,207,CHOA CHU KANG CTRL,10 TO 12,146,Maisonette,1989,71 years 09 months,575000
2017-03,CHOA CHU KANG,EXECUTIVE,287,CHOA CHU KANG AVE 2,04 TO 06,146,Maisonette,1990,72 years 05 months,580000
2017-03,CHOA CHU KANG,EXECUTIVE,448,CHOA CHU KANG AVE 4,13 TO 15,141,Apartment,1997,79 years 01 month,585000
2017-03,CHOA CHU KANG,EXECUTIVE,768,CHOA CHU KANG ST 54,10 TO 12,157,Maisonette,1996,78 years 04 months,592000
2017-04,CHOA CHU KANG,3 ROOM,19,TECK WHYE LANE,01 TO 03,68,New Generation,1981,63 years 05 months,253000
2017-04,CHOA CHU KANG,3 ROOM,3,TECK WHYE AVE,10 TO 12,74,Model A,1984,66 years 05 months,260000
2017-04,CHOA CHU KANG,3 ROOM,3,TECK WHYE AVE,10 TO 12,74,Model A,1984,66 years 05 months,263000
2017-04,CHOA CHU KANG,3 ROOM,3,TECK WHYE AVE,04 TO 06,74,Model A,1984,66 years 05 months,273000
2017-04,CHOA CHU KANG,3 ROOM,26,TECK WHYE LANE,07 TO 09,74,New Generation,1979,61 years,285000
2017-04,CHOA CHU KANG,3 ROOM,476C,CHOA CHU KANG AVE 5,07 TO 09,67,Model A,2013,95 years 04 months,315000
2017-04,CHOA CHU KANG,3 ROOM,476A,CHOA CHU KANG AVE 5,16 TO 18,67,Model A,2013,95 years 03 months,320000
2017-04,CHOA CHU KANG,3 ROOM,476A,CHOA CHU KANG AVE 5,13 TO 15,67,Model A,2013,95 years 03 months,340000
2017-04,CHOA CHU KANG,4 ROOM,11,TECK WHYE LANE,10 TO 12,99,New Generation,1978,60 years 01 month,310000
2017-04,CHOA CHU KANG,4 ROOM,136,TECK WHYE LANE,04 TO 06,107,Model A,1989,71 years 06 months,310000
2017-04,CHOA CHU KANG,4 ROOM,6,TECK WHYE AVE,01 TO 03,110,Model A,1984,65 years 11 months,320000
2017-04,CHOA CHU KANG,4 ROOM,673,CHOA CHU KANG CRES,04 TO 06,103,Premium Apartment,1999,81 years 06 months,325000
2017-04,CHOA CHU KANG,4 ROOM,473,CHOA CHU KANG AVE 3,04 TO 06,100,Model A,1999,81 years,325000
2017-04,CHOA CHU KANG,4 ROOM,152,JLN TECK WHYE,04 TO 06,101,Model A,1998,79 years 09 months,325000
2017-04,CHOA CHU KANG,4 ROOM,296A,CHOA CHU KANG AVE 2,10 TO 12,101,Premium Apartment,1999,81 years 04 months,328000
2017-04,CHOA CHU KANG,4 ROOM,427,CHOA CHU KANG AVE 4,04 TO 06,104,Model A,1992,74 years 03 months,335000
2017-04,CHOA CHU KANG,4 ROOM,677,CHOA CHU KANG CRES,01 TO 03,105,Premium Apartment,1999,81 years 06 months,335000
2017-04,CHOA CHU KANG,4 ROOM,157,JLN TECK WHYE,13 TO 15,94,Model A2,1998,79 years 09 months,335000
2017-04,CHOA CHU KANG,4 ROOM,280,CHOA CHU KANG AVE 3,07 TO 09,105,Model A,1992,74 years 03 months,340000
2017-04,CHOA CHU KANG,4 ROOM,486,CHOA CHU KANG AVE 5,13 TO 15,102,Model A,1999,81 years 02 months,340000
2017-04,CHOA CHU KANG,4 ROOM,543,CHOA CHU KANG ST 52,04 TO 06,107,Model A,1994,76 years,340000
2017-04,CHOA CHU KANG,4 ROOM,548,CHOA CHU KANG ST 52,07 TO 09,105,Model A,1995,77 years 01 month,343000
2017-04,CHOA CHU KANG,4 ROOM,160,JLN TECK WHYE,10 TO 12,101,Model A,1998,79 years 10 months,345000
2017-04,CHOA CHU KANG,4 ROOM,659,CHOA CHU KANG CRES,07 TO 09,104,Premium Apartment,1999,81 years,348000
2017-04,CHOA CHU KANG,4 ROOM,251,CHOA CHU KANG AVE 2,10 TO 12,104,Model A,1994,76 years 08 months,350000
2017-04,CHOA CHU KANG,4 ROOM,230,CHOA CHU KANG CTRL,04 TO 06,111,Model A,1990,72 years 02 months,352000
2017-04,CHOA CHU KANG,4 ROOM,406,CHOA CHU KANG AVE 3,10 TO 12,104,Model A,1993,75 years 02 months,354000
2017-04,CHOA CHU KANG,4 ROOM,284,CHOA CHU KANG AVE 3,07 TO 09,105,Model A,1990,72 years 03 months,355000
2017-04,CHOA CHU KANG,4 ROOM,667,CHOA CHU KANG CRES,16 TO 18,102,Model A,1999,81 years 02 months,355000
2017-04,CHOA CHU KANG,4 ROOM,472,CHOA CHU KANG AVE 3,04 TO 06,100,Model A,1999,81 years 01 month,357000
2017-04,CHOA CHU KANG,4 ROOM,295,CHOA CHU KANG AVE 2,07 TO 09,113,Model A,1990,72 years 02 months,358000
2017-04,CHOA CHU KANG,4 ROOM,435,CHOA CHU KANG AVE 4,10 TO 12,104,Model A,1993,75 years 02 months,359000
2017-04,CHOA CHU KANG,4 ROOM,283,CHOA CHU KANG AVE 3,13 TO 15,104,Model A,1992,74 years 03 months,363000
2017-04,CHOA CHU KANG,4 ROOM,676A,CHOA CHU KANG CRES,07 TO 09,103,Premium Apartment,1999,81 years 08 months,365000
2017-04,CHOA CHU KANG,4 ROOM,615,CHOA CHU KANG ST 62,01 TO 03,108,Model A,1996,78 years 03 months,368000
2017-04,CHOA CHU KANG,4 ROOM,670,CHOA CHU KANG CRES,16 TO 18,103,Premium Apartment,1999,81 years 08 months,375000
2017-04,CHOA CHU KANG,4 ROOM,238,CHOA CHU KANG CTRL,01 TO 03,115,Model A,1990,71 years 11 months,375000
2017-04,CHOA CHU KANG,4 ROOM,307,CHOA CHU KANG AVE 4,07 TO 09,109,Model A,1993,75 years 02 months,398000
2017-04,CHOA CHU KANG,4 ROOM,476D,CHOA CHU KANG AVE 5,13 TO 15,92,Model A,2013,95 years 03 months,400000
2017-04,CHOA CHU KANG,5 ROOM,689B,CHOA CHU KANG DR,04 TO 06,110,Improved,2002,84 years,370000
2017-04,CHOA CHU KANG,5 ROOM,508,CHOA CHU KANG ST 51,01 TO 03,128,Improved,1994,76 years 07 months,373000
2017-04,CHOA CHU KANG,5 ROOM,541,CHOA CHU KANG ST 52,01 TO 03,123,Improved,1994,76 years,375000
2017-04,CHOA CHU KANG,5 ROOM,225,CHOA CHU KANG CTRL,01 TO 03,124,Improved,1993,75 years 02 months,385000
2017-04,CHOA CHU KANG,5 ROOM,683A,CHOA CHU KANG CRES,07 TO 09,110,Improved,2002,84 years 04 months,400000
2017-04,CHOA CHU KANG,5 ROOM,689A,CHOA CHU KANG DR,16 TO 18,110,Improved,2002,84 years,405000
2017-04,CHOA CHU KANG,5 ROOM,473,CHOA CHU KANG AVE 3,07 TO 09,120,Improved,1999,81 years,410000
2017-04,CHOA CHU KANG,5 ROOM,691B,CHOA CHU KANG CRES,19 TO 21,110,Improved,2003,85 years 01 month,410000
